tweet_id,reply_datetime,username
1556630721808179200,2022-08-12 16:36:18.045948,LaRazon_Bolivia
1557933100889509890,2022-08-12 16:41:48.662788,correodelsurcom
1557575190418178048,2022-08-12 16:50:48.963902,grupoeldeber
1554909488070725634,2022-08-12 17:07:00.969953,ejutv
1557732226682716160,2022-08-12 23:20:01.256899,TARIJA200
1557720631579668480,2022-08-13 08:25:29.353210,MoneyBolivia
1557380770079117313,2022-08-13 16:27:06.412265,elperiodico_bol
1558489127145709568,2022-08-13 23:19:56.301634,falloutgirl313
1556671138553544706,2022-08-14 08:23:54.570509,ahora_elpueblo
1557733001462591488,2022-08-14 16:27:54.406885,ReporteChacoBo
1556981119161090048,2022-08-14 23:19:55.561914,Opinion_Bolivia
1559023710526353410,2022-08-15 08:26:32.655437,Sputnik_Report
1556673762086604800,2022-08-15 16:31:32.123367,Urgentebo
1558956611753893888,2022-08-15 23:21:12.369118,BoliGrafica
1559735903131762689,2022-08-17 08:27:32.273713,ExitoNoticias
1559037624051937280,2022-08-17 16:32:25.717322,eliseo777del
1559117781085442048,2022-08-17 23:22:13.809773,JohnArandia
1560051851814285313,2022-08-18 08:26:02.324217,Carl1238
1560230306736635904,2022-08-18 16:38:38.428277,InfomanosBol
1560467993708175361,2022-08-19 08:26:26.099128,lavozdetarija
1560606979344568321,2022-08-19 16:32:12.833022,Diario_ElDia
