notebook_path,last_executed,execution_status
Greenhouse_Data/Twitter/GreenhouseSummon.ipynb,2022-08-06 16:30,FAILURE.
Greenhouse_Data/Random_Fig_Daily/Random_Fig_Daily.ipynb,2022-08-06 16:30,SUCCESS!
Greenhouse_Data/NOAA_Updates/NOAA_Update.ipynb,2022-08-06 16:30,SUCCESS!
BoliGrafica/Twitter/twitter_post.ipynb,2022-08-06 16:33,SUCCESS!
Greenhouse_Data/NOAA_updates/NOAA_updates.ipynb,2022-09-11 14:14,... t'was a FAILURE. :(
BoliGrafica/_bots/twitter_covid_replies/covid_reply.ipynb,2022-09-12 12:36,... t'was a SUCCESS! :)
Greenhouse_Data/_bots/twitter_country_post/country_of_the_day.ipynb,2022-09-12 16:26,... t'was a FAILURE. :(
Greenhouse_Data/_bots/twitter_greenhouse_summon/greenhouse_summon.ipynb,2022-09-12 12:37,... t'was a SUCCESS! :)
Greenhouse_Data/random_fig/random_fig.ipynb,2022-09-12 16:26,... t'was a SUCCESS! :)
BoliGrafica/_bots/twitter_bo-indicadores/SDSN/sdsn_map_post.ipynb,2022-09-12 12:36,... t'was a SUCCESS! :)
BoliGrafica/_bots/twitter_bo-indicadores/Banco_Mundial_World_Bank/wbgapi_indicator_post.ipynb,2022-09-12 12:36,... t'was a SUCCESS! :)
