tweet_id,reply_datetime,username
1510165308602040320,2022-01-10 00:00:00.000000,UNEP
1509886513923989507,2022-03-12 00:00:00.000000,USDOT
1510559067311206401,2022-04-01 00:00:00.000000,quicoferrer
1509179737972912132,2022-04-05 00:35:02.010471,manuvimalassery
1508730985550127114,2022-04-05 00:36:33.250239,IBCSOLAR_Int
1509505554242281484,2022-04-05 00:37:20.101394,dsumati
1509497458665168906,2022-04-05 01:16:39.679688,1OFFGINGER
1510736922855067651,2022-04-05 01:16:45.803651,AnnaKFrick
1509556090236715012,2022-04-05 01:16:54.451062,apagliar
1509521478143787016,2022-04-05 01:16:59.668979,nickhedley
1508691102286721029,2022-04-05 01:17:05.029202,
1508859036170698758,2022-04-05 01:17:23.578633,CBCNews
1508785104512073734,2022-04-05 01:17:30.719780,MElmaazi
1509835187483561986,2022-04-05 01:17:37.920537,mynationstate
1509919672472256514,2022-04-05 01:17:45.355764,nancy_lool
1511001881493094406,2022-04-05 01:18:17.187893,RTEbusiness
1509910365563281409,2022-04-05 01:18:23.568907,vifindia
1511082751763660802,2022-04-05 01:18:34.422306,NoBeefWeek
1510982609492484097,2022-04-05 01:18:39.905552,md_goldfinger
1509176119534276611,2022-04-05 01:18:48.316316,DailySabah
1509194992182460417,2022-04-05 01:18:57.044688,bianet_eng
1508860240514764808,2022-04-05 01:19:26.462056,nationalpost
1509133875158605826,2022-04-05 01:19:44.440780,GlobalCalgary
1511005804203323400,2022-04-05 01:35:29.194525,Dept_ECC
1511051240687480837,2022-04-05 01:35:58.042272,gapireland
1511078214571024389,2022-04-05 01:41:04.945872,NorwayMFA
1508896805043462150,2022-04-05 01:41:23.099148,BRINKNewsNow
1511329625749827584,2022-04-05 15:43:16.788522,JeroenCandel
1511030869527773184,2022-04-05 15:43:47.992157,ormiga
1511359554809905154,2022-04-05 17:22:38.540292,foe_togo
1511161609850273792,2022-04-05 17:25:29.049632,AapFactcheck
1509681958133153801,2022-04-05 17:25:43.362677,CollinsAero
1511346109452541955,2022-04-05 17:26:03.562275,RwandaGov
1510354635558633472,2022-04-05 17:32:19.210294,paltineanu
1509670304943116289,2022-04-05 17:32:33.112776,ASteiner
1510920120025026564,2022-04-05 17:34:53.955228,zrakubih
1511263364030558210,2022-04-05 17:53:59.467418,DhakaTribune
1511226555934347265,2022-04-05 18:02:08.780451,Narjen53
1510997520863825924,2022-04-05 18:07:18.134532,JComm_NewsFeeds
1510479050493788162,2022-04-05 18:08:52.383263,news18dotcom
1508622277734277120,2022-04-05 18:19:18.034747,BTAnewsENG
1511295502872383489,2022-04-05 18:19:56.726834,kirbs1245
1511216939758395394,2022-04-05 16:35:46.179903,KateDennehy2
1511331587857653760,2022-04-05 16:36:06.501742,GobSmac57499765
1511232502299430914,2022-04-05 16:48:29.324359,ClimateworksCtr
1509622278358720534,2022-04-05 16:48:37.365117,panelworldmag
1511365553038020613,2022-04-05 17:11:30.605947,habols93
1508512316786102272,2022-04-05 17:11:42.442176,nebulouswonder
1511002172640710661,2022-04-05 18:07:55.825918,rtenews
1511014503848185858,2022-04-05 18:08:14.423789,BHheadlines
1510486000467943430,2022-04-05 19:05:10.671250,third_pole
1508513332055220232,2022-04-05 19:05:27.146717,billm9
1509398016968609796,2022-04-05 20:12:18.708943,CsrReporters
1511294511325933568,2022-04-05 20:12:32.988446,jopas
1511457827684220928,2022-04-05 22:04:20.550985,PasifikaNews
1511228494969155593,2022-04-05 22:04:37.444997,MrsMulletCole
1508853935208996876,2022-04-05 23:07:24.859119,dplsurve
1511376187544772612,2022-04-05 23:07:36.606983,PLANT_Magazine
1509902774401650688,2022-04-06 02:22:07.600375,ChadPergram
1510487193025871873,2022-04-06 02:24:07.898288,chinta_chintata
1509529146799509516,2022-04-06 03:21:44.807970,CEDelft
1511389141933694978,2022-04-06 03:22:00.610553,SenatorRobBlack
1509096870630821889,2022-04-06 06:08:40.405085,montsame_en
1511485325314768897,2022-04-06 06:09:05.249865,LyndaFrench19
1511303029831704587,2022-04-06 08:10:38.546767,NH_India
1511429051768000514,2022-04-06 08:11:13.887405,soilcouncil
1511419054984101893,2022-04-06 10:07:50.874362,DavyZJones
1510276807962079234,2022-04-06 10:08:15.093071,JamieLukasC
1509903837439668260,2022-04-06 10:20:37.755597,lsferguson
1511416224919433216,2022-04-06 10:20:54.707472,PoweringNow
1510912898658410496,2022-04-06 13:29:30.680160,MethaneNet
1510701114693505024,2022-04-06 13:29:47.840924,Clouddevs
1509532452112453632,2022-04-06 17:18:52.592330,OliHSchmidt
1510491599624568836,2022-04-06 17:19:18.473921,forjakeu
1511595693206499328,2022-04-06 19:12:38.642667,FFFinBD
1511085696139862027,2022-04-06 19:13:12.118018,PetenShirl
1511783076212645888,2022-04-06 20:19:11.477946,TisErni
1510498394283802631,2022-04-06 20:19:37.795781,bulu_mune
1511648732697272323,2022-04-06 22:18:28.576295,General_Oluchi
1511789169286295554,2022-04-06 22:18:50.144224,SaveWildBees
1509041027188858880,2022-04-06 23:18:53.360975,nea_ph
1511801584854118400,2022-04-06 23:19:53.003478,TonySheard6
1511854772495818754,2022-04-07 02:29:50.943678,OGJOnline
1511717616729088002,2022-04-07 02:30:31.154135,JimDuchene
1511680117344399364,2022-04-07 06:22:08.477354,Reuters
1510510706592202760,2022-04-07 06:22:27.096321,Demokrasi_35
1511872250060111872,2022-04-07 08:22:40.324432,IFC_EAP
1511802105685676036,2022-04-07 08:23:06.266766,BrianMoylan4
