year,month,decimal,average,average_unc,trend,trend_unc,date
1983,7,1983.542,1625.93,2.1,1634.8,1.39,1983-07-01
1983,8,1983.625,1628.06,2.69,1635.4,1.33,1983-08-01
1983,9,1983.708,1638.45,2.33,1636.04,1.27,1983-09-01
1983,10,1983.792,1644.8,1.59,1636.74,1.2,1983-10-01
1983,11,1983.875,1642.59,0.78,1637.5,1.12,1983-11-01
1983,12,1983.958,1639.57,1.01,1638.32,1.04,1983-12-01
1984,1,1984.042,1638.77,1.78,1639.23,0.95,1984-01-01
1984,2,1984.125,1638.84,2.05,1640.15,0.87,1984-02-01
1984,3,1984.208,1640.84,1.81,1641.11,0.81,1984-03-01
1984,4,1984.292,1643.96,1.93,1642.17,0.75,1984-04-01
1984,5,1984.375,1643.12,1.09,1643.25,0.71,1984-05-01
1984,6,1984.458,1639.75,0.9,1644.36,0.68,1984-06-01
1984,7,1984.542,1637.99,1.1,1645.48,0.66,1984-07-01
1984,8,1984.625,1641.68,1.51,1646.63,0.65,1984-08-01
1984,9,1984.708,1650.64,1.21,1647.76,0.65,1984-09-01
1984,10,1984.792,1654.59,1.54,1648.88,0.65,1984-10-01
1984,11,1984.875,1653.78,1.08,1649.98,0.66,1984-11-01
1984,12,1984.958,1656.23,1.23,1651.07,0.66,1984-12-01
1985,1,1985.042,1655.6,1.26,1652.15,0.66,1985-01-01
1985,2,1985.125,1652.21,1.39,1653.16,0.66,1985-02-01
1985,3,1985.208,1654.61,0.99,1654.16,0.66,1985-03-01
1985,4,1985.292,1658.19,0.9,1655.17,0.65,1985-04-01
1985,5,1985.375,1655.86,1.27,1656.18,0.65,1985-05-01
1985,6,1985.458,1650.07,1.35,1657.18,0.64,1985-06-01
1985,7,1985.542,1646.8,1.36,1658.18,0.65,1985-07-01
1985,8,1985.625,1652.24,1.42,1659.2,0.65,1985-08-01
1985,9,1985.708,1662.51,1.34,1660.21,0.66,1985-09-01
1985,10,1985.792,1667.49,1.23,1661.22,0.68,1985-10-01
1985,11,1985.875,1666.79,1.32,1662.25,0.69,1985-11-01
1985,12,1985.958,1666.07,1.2,1663.28,0.72,1985-12-01
1986,1,1986.042,1666.27,1.25,1664.34,0.75,1986-01-01
1986,2,1986.125,1666.9,1.76,1665.36,0.77,1986-02-01
1986,3,1986.208,1669.29,1.31,1666.38,0.79,1986-03-01
1986,4,1986.292,1670.81,1.46,1667.45,0.82,1986-04-01
1986,5,1986.375,1668.43,0.91,1668.52,0.84,1986-05-01
1986,6,1986.458,1664.79,1.3,1669.59,0.86,1986-06-01
1986,7,1986.542,1662.33,1.36,1670.68,0.87,1986-07-01
1986,8,1986.625,1664.37,1.89,1671.78,0.88,1986-08-01
1986,9,1986.708,1672.6,1.69,1672.87,0.87,1986-09-01
1986,10,1986.792,1678.66,1.54,1673.97,0.86,1986-10-01
1986,11,1986.875,1678.96,1.69,1675.06,0.85,1986-11-01
1986,12,1986.958,1679.14,1.18,1676.15,0.82,1986-12-01
1987,1,1987.042,1679.37,1.13,1677.26,0.79,1987-01-01
1987,2,1987.125,1679.02,1.07,1678.3,0.75,1987-02-01
1987,3,1987.208,1680.09,0.87,1679.32,0.71,1987-03-01
1987,4,1987.292,1681.37,0.94,1680.37,0.66,1987-04-01
1987,5,1987.375,1681.83,0.96,1681.38,0.61,1987-05-01
1987,6,1987.458,1680.01,0.97,1682.37,0.56,1987-06-01
1987,7,1987.542,1675.96,0.86,1683.33,0.51,1987-07-01
1987,8,1987.625,1677.14,0.83,1684.28,0.47,1987-08-01
1987,9,1987.708,1685.61,0.91,1685.17,0.44,1987-09-01
1987,10,1987.792,1691.56,0.83,1686.04,0.41,1987-10-01
1987,11,1987.875,1691.15,0.73,1686.88,0.41,1987-11-01
1987,12,1987.958,1690.51,0.88,1687.7,0.41,1987-12-01
1988,1,1988.042,1692.07,0.83,1688.53,0.43,1988-01-01
1988,2,1988.125,1692.63,0.81,1689.31,0.46,1988-02-01
1988,3,1988.208,1691.39,0.99,1690.08,0.5,1988-03-01
1988,4,1988.292,1690.05,1.0,1690.91,0.53,1988-04-01
1988,5,1988.375,1689.03,1.03,1691.74,0.57,1988-05-01
1988,6,1988.458,1687.06,1.1,1692.59,0.6,1988-06-01
1988,7,1988.542,1685.77,0.75,1693.47,0.62,1988-07-01
1988,8,1988.625,1689.12,1.0,1694.39,0.64,1988-08-01
1988,9,1988.708,1695.91,1.21,1695.33,0.65,1988-09-01
1988,10,1988.792,1701.05,1.25,1696.29,0.65,1988-10-01
1988,11,1988.875,1702.83,1.2,1697.28,0.65,1988-11-01
1988,12,1988.958,1701.98,1.02,1698.29,0.64,1988-12-01
1989,1,1989.042,1700.55,0.96,1699.32,0.62,1989-01-01
1989,2,1989.125,1701.05,1.07,1700.31,0.61,1989-02-01
1989,3,1989.208,1702.48,1.26,1701.31,0.59,1989-03-01
1989,4,1989.292,1703.59,1.02,1702.32,0.58,1989-04-01
1989,5,1989.375,1703.36,0.49,1703.33,0.56,1989-05-01
1989,6,1989.458,1700.22,0.83,1704.31,0.56,1989-06-01
1989,7,1989.542,1698.2,0.87,1705.27,0.55,1989-07-01
1989,8,1989.625,1701.97,0.97,1706.22,0.55,1989-08-01
1989,9,1989.708,1707.21,1.02,1707.12,0.56,1989-09-01
1989,10,1989.792,1710.5,1.09,1707.98,0.57,1989-10-01
1989,11,1989.875,1713.11,0.86,1708.81,0.59,1989-11-01
1989,12,1989.958,1713.23,0.87,1709.61,0.61,1989-12-01
1990,1,1990.042,1712.0,1.13,1710.38,0.63,1990-01-01
1990,2,1990.125,1713.34,1.29,1711.09,0.65,1990-02-01
1990,3,1990.208,1714.37,0.94,1711.77,0.66,1990-03-01
1990,4,1990.292,1712.63,0.96,1712.45,0.68,1990-04-01
1990,5,1990.375,1710.67,1.0,1713.11,0.69,1990-05-01
1990,6,1990.458,1708.35,0.8,1713.77,0.7,1990-06-01
1990,7,1990.542,1706.38,0.72,1714.43,0.71,1990-07-01
1990,8,1990.625,1710.11,1.32,1715.12,0.72,1990-08-01
1990,9,1990.708,1717.57,1.44,1715.82,0.72,1990-09-01
1990,10,1990.792,1722.02,1.05,1716.57,0.72,1990-10-01
1990,11,1990.875,1723.48,0.93,1717.37,0.73,1990-11-01
1990,12,1990.958,1723.35,1.01,1718.23,0.73,1990-12-01
1991,1,1991.042,1721.59,1.16,1719.19,0.73,1991-01-01
1991,2,1991.125,1721.19,1.16,1720.17,0.72,1991-02-01
1991,3,1991.208,1722.13,0.97,1721.22,0.72,1991-03-01
1991,4,1991.292,1722.55,1.07,1722.39,0.72,1991-04-01
1991,5,1991.375,1722.23,1.11,1723.61,0.72,1991-05-01
1991,6,1991.458,1719.03,1.17,1724.89,0.72,1991-06-01
1991,7,1991.542,1716.07,1.01,1726.19,0.71,1991-07-01
1991,8,1991.625,1719.24,1.13,1727.52,0.71,1991-08-01
1991,9,1991.708,1726.2,1.51,1728.81,0.71,1991-09-01
1991,10,1991.792,1732.74,0.97,1730.04,0.71,1991-10-01
1991,11,1991.875,1737.47,0.92,1731.19,0.71,1991-11-01
1991,12,1991.958,1739.61,1.01,1732.24,0.7,1991-12-01
1992,1,1992.042,1738.81,0.97,1733.18,0.69,1992-01-01
1992,2,1992.125,1737.27,1.0,1733.93,0.67,1992-02-01
1992,3,1992.208,1736.91,0.92,1734.54,0.66,1992-03-01
1992,4,1992.292,1736.6,0.57,1735.03,0.63,1992-04-01
1992,5,1992.375,1734.91,0.78,1735.36,0.61,1992-05-01
1992,6,1992.458,1731.59,1.08,1735.55,0.58,1992-06-01
1992,7,1992.542,1728.85,1.19,1735.63,0.55,1992-07-01
1992,8,1992.625,1730.36,1.07,1735.61,0.53,1992-08-01
1992,9,1992.708,1734.65,0.77,1735.53,0.51,1992-09-01
1992,10,1992.792,1737.71,0.75,1735.41,0.49,1992-10-01
1992,11,1992.875,1739.23,1.05,1735.29,0.48,1992-11-01
1992,12,1992.958,1738.54,0.93,1735.18,0.47,1992-12-01
1993,1,1993.042,1735.75,0.84,1735.11,0.46,1993-01-01
1993,2,1993.125,1734.37,0.87,1735.1,0.46,1993-02-01
1993,3,1993.208,1735.51,0.9,1735.16,0.45,1993-03-01
1993,4,1993.292,1736.68,0.69,1735.29,0.46,1993-04-01
1993,5,1993.375,1734.95,0.77,1735.51,0.46,1993-05-01
1993,6,1993.458,1730.84,0.9,1735.8,0.47,1993-06-01
1993,7,1993.542,1728.03,0.96,1736.16,0.49,1993-07-01
1993,8,1993.625,1731.19,1.0,1736.59,0.51,1993-08-01
1993,9,1993.708,1738.49,0.98,1737.06,0.54,1993-09-01
1993,10,1993.792,1743.34,0.95,1737.58,0.57,1993-10-01
1993,11,1993.875,1745.16,0.8,1738.12,0.6,1993-11-01
1993,12,1993.958,1744.29,0.9,1738.69,0.62,1993-12-01
1994,1,1994.042,1741.42,0.94,1739.28,0.64,1994-01-01
1994,2,1994.125,1740.87,1.0,1739.85,0.66,1994-02-01
